col,VAR
0,Revenue_CD_0012M
1,Revenue_CD_00170
2,Revenue_CD_0022
3,Revenue_CD_00731
4,Revenue_CD_00952
5,Revenue_CD_01001
6,Revenue_CD_01002
7,Revenue_CD_0120
8,Revenue_CD_0121
9,Revenue_CD_0122
10,Revenue_CD_0126
11,Revenue_CD_0156
12,Revenue_CD_0192
13,Revenue_CD_01922
14,Revenue_CD_0193
15,Revenue_CD_01967
16,Revenue_CD_01968
17,Revenue_CD_0206
18,Revenue_CD_0250
19,Revenue_CD_0255
20,Revenue_CD_0258
21,Revenue_CD_0260
22,Revenue_CD_0270
23,Revenue_CD_0271
24,Revenue_CD_0272
25,Revenue_CD_0274
26,Revenue_CD_0278
27,Revenue_CD_0300
28,Revenue_CD_0301
29,Revenue_CD_0302
30,Revenue_CD_0304
31,Revenue_CD_0305
32,Revenue_CD_0306
33,Revenue_CD_0307
34,Revenue_CD_0310
35,Revenue_CD_0311
36,Revenue_CD_0312
37,Revenue_CD_0320
38,Revenue_CD_0324
39,Revenue_CD_0350
40,Revenue_CD_0351
41,Revenue_CD_0352
42,Revenue_CD_0360
43,Revenue_CD_0361
44,Revenue_CD_0364T
45,Revenue_CD_0365T
46,Revenue_CD_0368T
47,Revenue_CD_0369T
48,Revenue_CD_0370
49,Revenue_CD_0370T
50,Revenue_CD_0390
51,Revenue_CD_0391
52,Revenue_CD_0402
53,Revenue_CD_0410
54,Revenue_CD_0412
55,Revenue_CD_0420
56,Revenue_CD_0421
57,Revenue_CD_0424
58,Revenue_CD_0430
59,Revenue_CD_0431
60,Revenue_CD_0434
61,Revenue_CD_0440
62,Revenue_CD_0444
63,Revenue_CD_0450
64,Revenue_CD_0451
65,Revenue_CD_0460
66,Revenue_CD_0480
67,Revenue_CD_0483
68,Revenue_CD_0490
69,Revenue_CD_0502F
70,Revenue_CD_0510
71,Revenue_CD_0551
72,Revenue_CD_0582
73,Revenue_CD_0610
74,Revenue_CD_0623
75,Revenue_CD_0636
76,Revenue_CD_0640
77,Revenue_CD_0651
78,Revenue_CD_0656
79,Revenue_CD_0682
80,Revenue_CD_0683
81,Revenue_CD_0710
82,Revenue_CD_0720
83,Revenue_CD_0721
84,Revenue_CD_0722
85,Revenue_CD_0730
86,Revenue_CD_0740
87,Revenue_CD_0750
88,Revenue_CD_0761
89,Revenue_CD_0762
90,Revenue_CD_0801
91,Revenue_CD_0821
92,Revenue_CD_0851
93,Revenue_CD_0906
94,Revenue_CD_0918
95,Revenue_CD_0920
96,Revenue_CD_0921
97,Revenue_CD_10005
98,Revenue_CD_1036F
99,Revenue_CD_11042
100,Revenue_CD_11102
101,Revenue_CD_11104
102,Revenue_CD_1111F
103,Revenue_CD_1125F
104,Revenue_CD_1126F
105,Revenue_CD_1160F
106,Revenue_CD_11981
107,Revenue_CD_15275
108,Revenue_CD_17000
109,Revenue_CD_17003
110,Revenue_CD_17004
111,Revenue_CD_2022F
112,Revenue_CD_20552
113,Revenue_CD_20553
114,Revenue_CD_20610
115,Revenue_CD_21085
116,Revenue_CD_22214
117,Revenue_CD_22551
118,Revenue_CD_22612
119,Revenue_CD_22614
120,Revenue_CD_22830
121,Revenue_CD_22840
122,Revenue_CD_22845
123,Revenue_CD_22852
124,Revenue_CD_22853
125,Revenue_CD_22855
126,Revenue_CD_23472
127,Revenue_CD_26535
128,Revenue_CD_3008F
129,Revenue_CD_3017F
130,Revenue_CD_3045F
131,Revenue_CD_3048F
132,Revenue_CD_3061F
133,Revenue_CD_3074F
134,Revenue_CD_3075F
135,Revenue_CD_3077F
136,Revenue_CD_3078F
137,Revenue_CD_3079F
138,Revenue_CD_31231
139,Revenue_CD_31575
140,Revenue_CD_3320F
141,Revenue_CD_3351F
142,Revenue_CD_3352F
143,Revenue_CD_35656
144,Revenue_CD_36415
145,Revenue_CD_36475
146,Revenue_CD_36561
147,Revenue_CD_36591
148,Revenue_CD_36830
149,Revenue_CD_37607
150,Revenue_CD_43235
151,Revenue_CD_43239
152,Revenue_CD_43281
153,Revenue_CD_43644
154,Revenue_CD_43775
155,Revenue_CD_44626
156,Revenue_CD_49560
157,Revenue_CD_49568
158,Revenue_CD_51728
159,Revenue_CD_51741
160,Revenue_CD_51784
161,Revenue_CD_51797
162,Revenue_CD_52000
163,Revenue_CD_52005
164,Revenue_CD_52204
165,Revenue_CD_52234
166,Revenue_CD_52351
167,Revenue_CD_58300
168,Revenue_CD_58301
169,Revenue_CD_58558
170,Revenue_CD_59400
171,Revenue_CD_59510
172,Revenue_CD_62321
173,Revenue_CD_63042
174,Revenue_CD_63707
175,Revenue_CD_64405
176,Revenue_CD_64455
177,Revenue_CD_64483
178,Revenue_CD_64493
179,Revenue_CD_64494
180,Revenue_CD_64495
181,Revenue_CD_64615
182,Revenue_CD_64616
183,Revenue_CD_64635
184,Revenue_CD_64636
185,Revenue_CD_66170
186,Revenue_CD_66821
187,Revenue_CD_66850
188,Revenue_CD_67010
189,Revenue_CD_67028
190,Revenue_CD_70355
191,Revenue_CD_70486
192,Revenue_CD_70491
193,Revenue_CD_70544
194,Revenue_CD_70545
195,Revenue_CD_70551
196,Revenue_CD_70553
197,Revenue_CD_71046
198,Revenue_CD_71275
199,Revenue_CD_72040
200,Revenue_CD_72100
201,Revenue_CD_72110
202,Revenue_CD_72170
203,Revenue_CD_73030
204,Revenue_CD_73060
205,Revenue_CD_73090
206,Revenue_CD_73120
207,Revenue_CD_73130
208,Revenue_CD_73502
209,Revenue_CD_73560
210,Revenue_CD_73564
211,Revenue_CD_73600
212,Revenue_CD_73610
213,Revenue_CD_73630
214,Revenue_CD_73721
215,Revenue_CD_74176
216,Revenue_CD_74177
217,Revenue_CD_74178
218,Revenue_CD_74420
219,Revenue_CD_76376
220,Revenue_CD_76642
221,Revenue_CD_76705
222,Revenue_CD_76770
223,Revenue_CD_76805
224,Revenue_CD_76817
225,Revenue_CD_76819
226,Revenue_CD_76830
227,Revenue_CD_76937
228,Revenue_CD_77001
229,Revenue_CD_77014
230,Revenue_CD_77061
231,Revenue_CD_77063
232,Revenue_CD_77065
233,Revenue_CD_77066
234,Revenue_CD_77067
235,Revenue_CD_77263
236,Revenue_CD_80048
237,Revenue_CD_80050
238,Revenue_CD_80053
239,Revenue_CD_80055
240,Revenue_CD_80061
241,Revenue_CD_80076
242,Revenue_CD_80156
243,Revenue_CD_80299
244,Revenue_CD_80305
245,Revenue_CD_80307
246,Revenue_CD_81000
247,Revenue_CD_81001
248,Revenue_CD_81002
249,Revenue_CD_81003
250,Revenue_CD_81025
251,Revenue_CD_81226
252,Revenue_CD_81227
253,Revenue_CD_81230
254,Revenue_CD_81231
255,Revenue_CD_81256
256,Revenue_CD_81291
257,Revenue_CD_81479
258,Revenue_CD_82024
259,Revenue_CD_82040
260,Revenue_CD_82043
261,Revenue_CD_82103
262,Revenue_CD_82104
263,Revenue_CD_82136
264,Revenue_CD_82140
265,Revenue_CD_82150
266,Revenue_CD_82157
267,Revenue_CD_82172
268,Revenue_CD_82248
269,Revenue_CD_82274
270,Revenue_CD_82306
271,Revenue_CD_82397
272,Revenue_CD_82435
273,Revenue_CD_82533
274,Revenue_CD_82542
275,Revenue_CD_82550
276,Revenue_CD_82565
277,Revenue_CD_82570
278,Revenue_CD_82607
279,Revenue_CD_82610
280,Revenue_CD_82626
281,Revenue_CD_82627
282,Revenue_CD_82656
283,Revenue_CD_82670
284,Revenue_CD_82677
285,Revenue_CD_82679
286,Revenue_CD_82715
287,Revenue_CD_82725
288,Revenue_CD_82726
289,Revenue_CD_82728
290,Revenue_CD_82746
291,Revenue_CD_82747
292,Revenue_CD_82784
293,Revenue_CD_82785
294,Revenue_CD_82962
295,Revenue_CD_82977
296,Revenue_CD_82985
297,Revenue_CD_83001
298,Revenue_CD_83002
299,Revenue_CD_83036
300,Revenue_CD_83090
301,Revenue_CD_83498
302,Revenue_CD_83516
303,Revenue_CD_83519
304,Revenue_CD_83520
305,Revenue_CD_83525
306,Revenue_CD_83540
307,Revenue_CD_83550
308,Revenue_CD_83615
309,Revenue_CD_83690
310,Revenue_CD_83695
311,Revenue_CD_83698
312,Revenue_CD_83719
313,Revenue_CD_83721
314,Revenue_CD_83735
315,Revenue_CD_83789
316,Revenue_CD_83876
317,Revenue_CD_83880
318,Revenue_CD_83883
319,Revenue_CD_83921
320,Revenue_CD_83970
321,Revenue_CD_83993
322,Revenue_CD_84100
323,Revenue_CD_84132
324,Revenue_CD_84140
325,Revenue_CD_84144
326,Revenue_CD_84146
327,Revenue_CD_84153
328,Revenue_CD_84155
329,Revenue_CD_84206
330,Revenue_CD_84270
331,Revenue_CD_84295
332,Revenue_CD_84305
333,Revenue_CD_84311
334,Revenue_CD_84378
335,Revenue_CD_84402
336,Revenue_CD_84403
337,Revenue_CD_84432
338,Revenue_CD_84439
339,Revenue_CD_84443
340,Revenue_CD_84481
341,Revenue_CD_84482
342,Revenue_CD_84484
343,Revenue_CD_84520
344,Revenue_CD_84550
345,Revenue_CD_84681
346,Revenue_CD_84702
347,Revenue_CD_85007
348,Revenue_CD_85014
349,Revenue_CD_85025
350,Revenue_CD_85027
351,Revenue_CD_85060
352,Revenue_CD_85097
353,Revenue_CD_85385
354,Revenue_CD_85597
355,Revenue_CD_85598
356,Revenue_CD_85610
357,Revenue_CD_85613
358,Revenue_CD_85651
359,Revenue_CD_85652
360,Revenue_CD_85670
361,Revenue_CD_85730
362,Revenue_CD_86003
363,Revenue_CD_86038
364,Revenue_CD_86141
365,Revenue_CD_86146
366,Revenue_CD_86147
367,Revenue_CD_86148
368,Revenue_CD_86160
369,Revenue_CD_86162
370,Revenue_CD_86200
371,Revenue_CD_86225
372,Revenue_CD_86235
373,Revenue_CD_86304
374,Revenue_CD_86341
375,Revenue_CD_86376
376,Revenue_CD_86403
377,Revenue_CD_86431
378,Revenue_CD_86592
379,Revenue_CD_86593
380,Revenue_CD_86618
381,Revenue_CD_86787
382,Revenue_CD_86800
383,Revenue_CD_86803
384,Revenue_CD_86850
385,Revenue_CD_86900
386,Revenue_CD_86901
387,Revenue_CD_87045
388,Revenue_CD_87046
389,Revenue_CD_87070
390,Revenue_CD_87071
391,Revenue_CD_87075
392,Revenue_CD_87086
393,Revenue_CD_87088
394,Revenue_CD_87102
395,Revenue_CD_87106
396,Revenue_CD_87389
397,Revenue_CD_87400
398,Revenue_CD_87491
399,Revenue_CD_87536
400,Revenue_CD_87591
401,Revenue_CD_87641
402,Revenue_CD_87804
403,Revenue_CD_87880
404,Revenue_CD_88112
405,Revenue_CD_88175
406,Revenue_CD_88189
407,Revenue_CD_88305
408,Revenue_CD_88311
409,Revenue_CD_88313
410,Revenue_CD_88341
411,Revenue_CD_88342
412,Revenue_CD_88374
413,Revenue_CD_88387
414,Revenue_CD_89321
415,Revenue_CD_90460
416,Revenue_CD_90461
417,Revenue_CD_90471
418,Revenue_CD_90472
419,Revenue_CD_90621
420,Revenue_CD_90633
421,Revenue_CD_90686
422,Revenue_CD_90688
423,Revenue_CD_90707
424,Revenue_CD_90715
425,Revenue_CD_90716
426,Revenue_CD_90734
427,Revenue_CD_90785
428,Revenue_CD_90791
429,Revenue_CD_90832
430,Revenue_CD_90833
431,Revenue_CD_90834
432,Revenue_CD_90836
433,Revenue_CD_90837
434,Revenue_CD_90868
435,Revenue_CD_90945
436,Revenue_CD_90999
437,Revenue_CD_91010
438,Revenue_CD_91035
439,Revenue_CD_92004
440,Revenue_CD_92012
441,Revenue_CD_92014
442,Revenue_CD_92015
443,Revenue_CD_92020
444,Revenue_CD_92083
445,Revenue_CD_92134
446,Revenue_CD_92145
447,Revenue_CD_92226
448,Revenue_CD_92250
449,Revenue_CD_92504
450,Revenue_CD_92507
451,Revenue_CD_92526
452,Revenue_CD_92551
453,Revenue_CD_92567
454,Revenue_CD_92700
455,Revenue_CD_92937
456,Revenue_CD_93000
457,Revenue_CD_93005
458,Revenue_CD_93010
459,Revenue_CD_93306
460,Revenue_CD_93613
461,Revenue_CD_93662
462,Revenue_CD_94760
463,Revenue_CD_95117
464,Revenue_CD_95819
465,Revenue_CD_95874
466,Revenue_CD_95992
467,Revenue_CD_96103
468,Revenue_CD_96130
469,Revenue_CD_96131
470,Revenue_CD_96151
471,Revenue_CD_96160
472,Revenue_CD_96361
473,Revenue_CD_96365
474,Revenue_CD_96366
475,Revenue_CD_96367
476,Revenue_CD_96372
477,Revenue_CD_96374
478,Revenue_CD_96375
479,Revenue_CD_96402
480,Revenue_CD_96411
481,Revenue_CD_96413
482,Revenue_CD_96416
483,Revenue_CD_96417
484,Revenue_CD_96999
485,Revenue_CD_97010
486,Revenue_CD_97012
487,Revenue_CD_97014
488,Revenue_CD_97022
489,Revenue_CD_97026
490,Revenue_CD_97032
491,Revenue_CD_97035
492,Revenue_CD_97110
493,Revenue_CD_97112
494,Revenue_CD_97140
495,Revenue_CD_97150
496,Revenue_CD_97153
497,Revenue_CD_97154
498,Revenue_CD_97155
499,Revenue_CD_97156
500,Revenue_CD_97161
501,Revenue_CD_97162
502,Revenue_CD_97530
503,Revenue_CD_97535
504,Revenue_CD_97607
505,Revenue_CD_97799
506,Revenue_CD_97810
507,Revenue_CD_97811
508,Revenue_CD_97813
509,Revenue_CD_97814
510,Revenue_CD_98927
511,Revenue_CD_98940
512,Revenue_CD_98941
513,Revenue_CD_98942
514,Revenue_CD_98943
515,Revenue_CD_99000
516,Revenue_CD_99050
517,Revenue_CD_99051
518,Revenue_CD_99053
519,Revenue_CD_99140
520,Revenue_CD_99173
521,Revenue_CD_99201
522,Revenue_CD_99202
523,Revenue_CD_99203
524,Revenue_CD_99204
525,Revenue_CD_99205
526,Revenue_CD_99211
527,Revenue_CD_99212
528,Revenue_CD_99213
529,Revenue_CD_99214
530,Revenue_CD_99215
531,Revenue_CD_99219
532,Revenue_CD_99223
533,Revenue_CD_99226
534,Revenue_CD_99231
535,Revenue_CD_99232
536,Revenue_CD_99233
537,Revenue_CD_99239
538,Revenue_CD_99242
539,Revenue_CD_99243
540,Revenue_CD_99244
541,Revenue_CD_99245
542,Revenue_CD_99282
543,Revenue_CD_99283
544,Revenue_CD_99284
545,Revenue_CD_99285
546,Revenue_CD_99291
547,Revenue_CD_99336
548,Revenue_CD_99354
549,Revenue_CD_99382
550,Revenue_CD_99385
551,Revenue_CD_99386
552,Revenue_CD_99393
553,Revenue_CD_99396
554,Revenue_CD_99404
555,Revenue_CD_99444
556,Revenue_CD_99479
557,Revenue_CD_99601
558,Revenue_CD_99602
559,Revenue_CD_A0382
560,Revenue_CD_A0420
561,Revenue_CD_A0422
562,Revenue_CD_A0425
563,Revenue_CD_A0426
564,Revenue_CD_A0427
565,Revenue_CD_A0428
566,Revenue_CD_A0429
567,Revenue_CD_A0434
568,Revenue_CD_A0999
569,Revenue_CD_A4216
570,Revenue_CD_A4222
571,Revenue_CD_A4223
572,Revenue_CD_A4595
573,Revenue_CD_A4604
574,Revenue_CD_A4649
575,Revenue_CD_A4657
576,Revenue_CD_A6216
577,Revenue_CD_A6402
578,Revenue_CD_A7030
579,Revenue_CD_A7031
580,Revenue_CD_A7032
581,Revenue_CD_A7033
582,Revenue_CD_A7034
583,Revenue_CD_A7035
584,Revenue_CD_A7037
585,Revenue_CD_A7038
586,Revenue_CD_A7039
587,Revenue_CD_A7046
